date,NH,NL
2026-05-21,59,570
2026-05-22,59,570
2026-05-25,145,341
2026-05-27,101,721
2026-05-28,147,507
2026-05-29,67,489
2026-06-01,66,33
2026-06-02,83,295
2026-06-03,89,583
2026-06-04,103,960
2026-06-05,70,213
2026-06-08,42,1085
2026-06-09,83,610
2026-06-10,64,817
2026-06-11,59,1140
2026-06-12,41,116
2026-06-15,111,170
2026-06-16,146,309
2026-06-17,167,753
2026-06-18,162,847
2026-06-19,162,848
2026-06-22,191,453
2026-06-23,92,259
2026-06-24,152,1155
2026-06-25,156,1411
2026-06-26,123,1723
2026-06-29,98,948
2026-06-30,132,847
2026-07-01,118,32
2026-07-02,42,61
2026-07-03,49,28
2026-07-06,44,164
2026-07-07,23,615
2026-07-08,21,578
2026-07-09,14,405
2026-07-10,25,71
2026-07-13,6,951
2026-07-14,19,194
2026-07-15,20,139
2026-07-16,12,138
2026-07-17,9,723
2026-07-20,10,928
2026-07-21,6,579
2026-07-22,14,905
2026-07-23,9,32
2026-07-24,5,578
2026-07-27,8,5
2026-07-28,10,42
2026-07-29,7,31
2026-07-30,16,123
2026-07-31,11,1
2026-08-03,9,2
2026-08-04,12,2
2026-08-05,15,4
2026-08-06,19,3
2026-08-07,17,3
2026-08-10,28,4
2026-08-11,16,3
2026-08-12,26,3
2026-08-13,21,6
2026-08-14,17,10
2026-08-17,36,5
2026-08-18,10,2
2026-08-19,8,29
